epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4776,2.343,2.50702,1.34588,0.69624,0.57538,0.55188,0.19805,2.26666,1.29677,1.27203,0.000328283,0.000328283,0.0675
2,52.4917,2.23205,1.24498,1.27569,0.67922,0.56681,0.58842,0.19887,2.19442,1.15202,1.26052,0.00066097,0.00066097,0.0344994
3,75.9763,2.16478,1.17395,1.25953,0.72268,0.60923,0.60305,0.21621,2.0822,1.22746,1.22321,0.000991066,0.000991066,0.00149612
4,100.354,2.14091,1.14841,1.26537,0.65095,0.59103,0.58862,0.23629,2.05922,1.10619,1.20712,0.000991232,0.000991232,0.000991232
5,124.469,2.12931,1.15481,1.2326,0.10439,0.71077,0.08996,0.03308,2.12935,6.80752,1.2109,0.000984449,0.000984449,0.000984449
6,148.796,2.0891,1.1081,1.23924,0.73332,0.59077,0.63502,0.24679,2.01979,1.16579,1.17111,0.000975773,0.000975773,0.000975773
7,173.642,2.08673,1.06429,1.21678,0.69834,0.66462,0.67388,0.26948,2.01837,1.0376,1.17509,0.000965239,0.000965239,0.000965239
8,196.86,2.0364,1.03837,1.20938,0.7268,0.66769,0.69212,0.26968,2.08131,1.10746,1.19321,0.000952889,0.000952889,0.000952889
9,221.44,2.0551,1.04878,1.20119,0.74639,0.64293,0.67205,0.26402,2.11591,1.00609,1.2023,0.000938772,0.000938772,0.000938772
10,244.645,1.99719,1.01271,1.19772,0.76135,0.66749,0.68587,0.27053,1.92789,1.07743,1.13224,0.000922942,0.000922942,0.000922942
11,269.276,2.0123,1.02463,1.20948,0.74581,0.67385,0.70436,0.27197,2.00542,1.01602,1.15173,0.000905463,0.000905463,0.000905463
12,293.567,2.01963,1.01499,1.19184,0.77169,0.67602,0.70423,0.28475,2.0027,1.01046,1.14016,0.000886404,0.000886404,0.000886404
13,317.555,2.05211,1.03852,1.20016,0.79915,0.70462,0.72695,0.27561,2.03631,1.00859,1.1748,0.000865839,0.000865839,0.000865839
14,342.2,1.98364,0.99515,1.15983,0.75952,0.68308,0.66023,0.24842,2.06325,1.03482,1.17621,0.000843851,0.000843851,0.000843851
15,365.764,2.00384,1.01783,1.20493,0.78665,0.68923,0.70417,0.28217,2.03137,1.04374,1.16712,0.000820525,0.000820525,0.000820525
16,390.587,2.0009,0.97963,1.15492,0.7551,0.67077,0.68003,0.26201,2.10469,1.01089,1.18619,0.000795954,0.000795954,0.000795954
17,413.927,1.94482,0.97462,1.15151,0.7584,0.69846,0.71102,0.28914,2.03455,0.96624,1.16727,0.000770234,0.000770234,0.000770234
18,438.334,1.92842,0.95734,1.13679,0.76448,0.71077,0.70778,0.27848,2.04468,0.97406,1.15708,0.000743468,0.000743468,0.000743468
19,462.783,1.91812,0.9236,1.13716,0.75747,0.67269,0.73957,0.30814,2.0249,0.9643,1.14156,0.000715761,0.000715761,0.000715761
20,486.776,1.92216,0.9565,1.14647,0.77596,0.69272,0.71686,0.28607,1.99691,0.98435,1.15195,0.000687222,0.000687222,0.000687222
21,510.475,1.93822,0.94563,1.13583,0.78504,0.64052,0.72628,0.27494,2.03901,0.95546,1.15052,0.000657963,0.000657963,0.000657963
22,534.096,1.90839,0.90395,1.13905,0.75488,0.71077,0.71782,0.26509,2.11898,0.97227,1.18383,0.000628101,0.000628101,0.000628101
23,558.627,1.87402,0.90137,1.12233,0.78458,0.68615,0.73838,0.30545,2.00229,0.93276,1.13871,0.000597754,0.000597754,0.000597754
24,581.236,1.89119,0.88279,1.13359,0.7595,0.72615,0.77189,0.3185,1.95305,0.91029,1.12668,0.00056704,0.00056704,0.00056704
25,605.401,1.84939,0.87859,1.12715,0.8304,0.69538,0.75648,0.30963,1.96305,0.88975,1.13765,0.000536081,0.000536081,0.000536081
26,628.359,1.83725,0.88123,1.11697,0.78914,0.71397,0.75241,0.29186,2.03042,0.921,1.1681,0.000505,0.000505,0.000505
27,652.047,1.81312,0.85425,1.11081,0.80377,0.69316,0.7142,0.26487,2.08505,0.94892,1.17529,0.000473919,0.000473919,0.000473919
28,675.492,1.83128,0.85055,1.103,0.7845,0.68,0.71544,0.26147,2.13276,0.92563,1.19383,0.00044296,0.00044296,0.00044296
29,699.952,1.77691,0.83488,1.10226,0.81337,0.68,0.76065,0.30821,1.99085,0.89657,1.13992,0.000412246,0.000412246,0.000412246
30,725.066,1.78429,0.81618,1.0855,0.76751,0.66027,0.72419,0.27653,2.02099,0.9427,1.14695,0.000381899,0.000381899,0.000381899
31,749.638,1.78434,0.82732,1.10684,0.7733,0.70769,0.73288,0.29512,2.03281,0.89883,1.15179,0.000352037,0.000352037,0.000352037
32,775.5,1.7718,0.80472,1.08526,0.75196,0.72758,0.7635,0.31385,1.98845,0.87991,1.1451,0.000322778,0.000322778,0.000322778
33,801.853,1.79196,0.79561,1.08161,0.80864,0.71077,0.75075,0.29813,2.01464,0.89981,1.16301,0.000294239,0.000294239,0.000294239
34,827.158,1.70991,0.79151,1.06438,0.81909,0.66769,0.74774,0.31624,1.96101,0.86306,1.14109,0.000266532,0.000266532,0.000266532
35,853.252,1.68401,0.76763,1.07177,0.81699,0.70769,0.76503,0.32318,1.96382,0.84197,1.13304,0.000239766,0.000239766,0.000239766
36,880.645,1.72408,0.78341,1.11166,0.77985,0.73538,0.74502,0.31553,1.97394,0.85862,1.14172,0.000214046,0.000214046,0.000214046
37,904.801,1.70328,0.76364,1.11108,0.74491,0.70981,0.74534,0.30076,2.02177,0.88468,1.16557,0.000189475,0.000189475,0.000189475
38,929.25,1.6579,0.73949,1.08698,0.78709,0.68,0.73173,0.30548,1.9893,0.87356,1.14,0.000166149,0.000166149,0.000166149
39,953.066,1.65913,0.736,1.08769,0.80137,0.70758,0.76816,0.3134,1.99054,0.85584,1.15126,0.000144161,0.000144161,0.000144161
40,977.372,1.64265,0.74256,1.06962,0.78935,0.71385,0.75824,0.30509,2.03008,0.86441,1.17321,0.000123596,0.000123596,0.000123596
41,1001.47,1.61832,0.73103,1.06747,0.78164,0.69388,0.74605,0.31196,1.97785,0.84855,1.14896,0.000104537,0.000104537,0.000104537
42,1026.46,1.61713,0.71922,1.06745,0.7998,0.69231,0.74535,0.30229,2.03703,0.8676,1.17466,8.70577e-05,8.70577e-05,8.70577e-05
43,1050,1.61384,0.71249,1.06707,0.79603,0.68923,0.74438,0.29152,2.03472,0.87665,1.17797,7.12282e-05,7.12282e-05,7.12282e-05
44,1074.44,1.59191,0.70543,1.0529,0.79275,0.69231,0.75337,0.30883,1.96398,0.84262,1.14931,5.71106e-05,5.71106e-05,5.71106e-05
45,1097.61,1.56881,0.69674,1.04895,0.79053,0.68615,0.74147,0.3021,2.0012,0.85599,1.16329,4.47606e-05,4.47606e-05,4.47606e-05
46,1122.02,1.57949,0.69446,1.04971,0.78734,0.68351,0.74203,0.29645,2.03449,0.86519,1.17859,3.4227e-05,3.4227e-05,3.4227e-05
47,1145.35,1.57702,0.69045,1.05639,0.79021,0.68379,0.74676,0.30091,2.02008,0.85691,1.17403,2.55513e-05,2.55513e-05,2.55513e-05
48,1168.7,1.56079,0.69004,1.04196,0.79199,0.67948,0.74583,0.30277,2.00906,0.85366,1.17127,1.87678e-05,1.87678e-05,1.87678e-05
49,1192.64,1.54683,0.68101,1.04282,0.78923,0.68,0.73717,0.29228,2.02965,0.86701,1.1795,1.39032e-05,1.39032e-05,1.39032e-05
50,1215.61,1.55335,0.68617,1.05526,0.79367,0.68923,0.75553,0.29771,2.01175,0.8582,1.17354,1.09768e-05,1.09768e-05,1.09768e-05
